i,j,lb,ub_min_x,nc,rfr,rsr,ub_ext_1,ub_none,ub_bad,ub_ext_21,ub_ext_22,ub_ext_23,ub_ext_25,ub_ext_3,ub_ext_4
9,8,91,95.4543123,1.5,0.75,0.2,95.45431231,96.83529528,96.83529528,95.39353236,95.48252488,95.48252488,95.1398883,95.0147264,94.85189683
9,9,63,66.7065062,1.5,0.75,0.2,66.70650617,66.99564575,66.99564575,66.71080278,66.70937064,66.70436699,66.70724169,66.7065062,66.70650617
9,10,88,92.742467,1.5,0.75,0.2,92.72180865,93.63801715,93.63801715,91.53733749,91.49298767,92.15482404,92.12628255,91.8762241,91.87426859
10,1,42,46.5109434,1.5,0.75,0.5,46.51855519,48.30474807,48.30474807,46.40774525,46.40603604,46.31748322,46.30061606,46.2376887,46.23768866
10,2,56,60.7407371,1.5,0.75,0.5,61.00253177,62.25606635,62.25606635,60.84589851,60.97214805,60.95536017,61.04780001,61.1749661,60.92899754
10,3,62,68.4454227,1.5,0.75,0.5,68.42550879,68.9922737,68.9922737,68.31669959,67.87803636,68.00397916,67.90069602,67.8616545,67.86165449
10,4,58,63.3632585,1.5,0.75,0.5,63.36376047,64.42585503,64.42585503,63.20018175,63.03015861,63.05593357,63.30333229,63.0021832,62.95209189
10,5,41,46.1786353,1.5,0.75,0.5,46.13839049,47.64838339,47.64838339,46.01509063,45.8882644,46.06183051,46.1811158,45.8886155,45.88943872
10,6,44,48.1961742,1.5,0.75,0.5,48.31227379,49.0197234,49.0197234,48.23688513,48.17663987,48.31318829,48.16836234,48.3118546,48.31185457
10,7,49,53.8319084,1.5,0.75,0.5,53.821157,55.53679451,55.53679451,53.74321831,53.64892753,54.03053941,53.85018081,53.4986271,53.49862708
10,8,54,60.0185916,1.5,0.75,0.5,59.99526598,60.78232245,60.78232245,59.29923764,59.11782538,59.04912353,59.58554874,59.0415965,59.04159646
10,9,49,51.744885,1.5,0.75,0.5,51.70994222,54.57184034,54.57184034,51.66247531,52.1288862,52.05265708,52.03112419,51.3705005,51.18059846
10,10,41,45.8163828,1.5,0.75,0.5,45.86639552,47.33762063,47.33762063,45.63470251,45.6688315,45.54339107,45.72332651,45.4800921,45.48009214
